method,camera_frame,split,class_name,track_id,matched,iou,score,source_mode,detail_available
radar_bounded_crops,119,train,boat,boat,True,0.6985882933186198,0.4830242693424225,prediction_jsonl,True
radar_bounded_crops,119,train,buoy,b1,True,0.8025692645180437,0.2766862213611603,prediction_jsonl,True
radar_bounded_crops,119,train,buoy,b2,False,,,prediction_jsonl,True
radar_bounded_crops,119,train,buoy,b3,False,,,prediction_jsonl,True
radar_bounded_crops,119,train,buoy,b4,False,,,prediction_jsonl,True
radar_bounded_crops,119,train,buoy,b5,False,,,prediction_jsonl,True
radar_bounded_crops,119,train,buoy,b6,False,,,prediction_jsonl,True
radar_bounded_crops,119,train,buoy,b7,False,,,prediction_jsonl,True
radar_bounded_crops,119,train,buoy,b8,False,,,prediction_jsonl,True
radar_bounded_crops,120,train,boat,boat,True,0.7217170960259908,0.6180272698402405,prediction_jsonl,True
radar_bounded_crops,120,train,buoy,b1,True,0.8294854215972914,0.2660500109195709,prediction_jsonl,True
radar_bounded_crops,120,train,buoy,b2,True,0.6642959881015053,0.1815711259841919,prediction_jsonl,True
radar_bounded_crops,120,train,buoy,b3,False,,,prediction_jsonl,True
radar_bounded_crops,120,train,buoy,b4,False,,,prediction_jsonl,True
radar_bounded_crops,120,train,buoy,b5,False,,,prediction_jsonl,True
radar_bounded_crops,120,train,buoy,b6,False,,,prediction_jsonl,True
radar_bounded_crops,120,train,buoy,b7,False,,,prediction_jsonl,True
radar_bounded_crops,120,train,buoy,b8,False,,,prediction_jsonl,True
radar_bounded_crops,121,train,boat,boat,True,0.757562674061251,0.6898308992385864,prediction_jsonl,True
radar_bounded_crops,121,train,buoy,b1,True,0.822756651677993,0.23448613286018372,prediction_jsonl,True
radar_bounded_crops,121,train,buoy,b2,False,,,prediction_jsonl,True
radar_bounded_crops,121,train,buoy,b3,False,,,prediction_jsonl,True
radar_bounded_crops,121,train,buoy,b4,False,,,prediction_jsonl,True
radar_bounded_crops,121,train,buoy,b5,False,,,prediction_jsonl,True
radar_bounded_crops,121,train,buoy,b6,False,,,prediction_jsonl,True
radar_bounded_crops,121,train,buoy,b7,False,,,prediction_jsonl,True
radar_bounded_crops,121,train,buoy,b8,False,,,prediction_jsonl,True
radar_bounded_crops,122,train,boat,boat,True,0.6990703787623933,0.5969195365905762,prediction_jsonl,True
radar_bounded_crops,122,train,buoy,b1,True,0.8101424937641832,0.25234514474868774,prediction_jsonl,True
radar_bounded_crops,122,train,buoy,b2,False,,,prediction_jsonl,True
radar_bounded_crops,122,train,buoy,b3,False,,,prediction_jsonl,True
radar_bounded_crops,122,train,buoy,b4,False,,,prediction_jsonl,True
radar_bounded_crops,122,train,buoy,b5,False,,,prediction_jsonl,True
radar_bounded_crops,122,train,buoy,b6,False,,,prediction_jsonl,True
radar_bounded_crops,122,train,buoy,b7,False,,,prediction_jsonl,True
radar_bounded_crops,122,train,buoy,b8,False,,,prediction_jsonl,True
radar_bounded_crops,123,train,boat,boat,True,0.6908484916099109,0.68587726354599,prediction_jsonl,True
radar_bounded_crops,123,train,buoy,b1,True,0.7826813648472274,0.2337164282798767,prediction_jsonl,True
radar_bounded_crops,123,train,buoy,b2,False,,,prediction_jsonl,True
radar_bounded_crops,123,train,buoy,b3,False,,,prediction_jsonl,True
radar_bounded_crops,123,train,buoy,b4,False,,,prediction_jsonl,True
radar_bounded_crops,123,train,buoy,b5,False,,,prediction_jsonl,True
radar_bounded_crops,123,train,buoy,b6,False,,,prediction_jsonl,True
radar_bounded_crops,123,train,buoy,b7,False,,,prediction_jsonl,True
radar_bounded_crops,123,train,buoy,b8,False,,,prediction_jsonl,True
radar_bounded_crops,124,train,boat,boat,True,0.738829829025942,0.690138578414917,prediction_jsonl,True
radar_bounded_crops,124,train,buoy,b1,True,0.781305946134962,0.2561444640159607,prediction_jsonl,True
radar_bounded_crops,124,train,buoy,b2,False,,,prediction_jsonl,True
radar_bounded_crops,124,train,buoy,b3,False,,,prediction_jsonl,True
radar_bounded_crops,124,train,buoy,b4,False,,,prediction_jsonl,True
radar_bounded_crops,124,train,buoy,b5,False,,,prediction_jsonl,True
radar_bounded_crops,124,train,buoy,b6,False,,,prediction_jsonl,True
radar_bounded_crops,124,train,buoy,b7,False,,,prediction_jsonl,True
radar_bounded_crops,124,train,buoy,b8,False,,,prediction_jsonl,True
radar_bounded_crops,125,train,boat,boat,True,0.7601004204251871,0.6949627995491028,prediction_jsonl,True
radar_bounded_crops,125,train,buoy,b1,True,0.7986186639802859,0.2534288465976715,prediction_jsonl,True
radar_bounded_crops,125,train,buoy,b2,False,,,prediction_jsonl,True
radar_bounded_crops,125,train,buoy,b3,False,,,prediction_jsonl,True
radar_bounded_crops,125,train,buoy,b4,False,,,prediction_jsonl,True
radar_bounded_crops,125,train,buoy,b5,False,,,prediction_jsonl,True
radar_bounded_crops,125,train,buoy,b6,False,,,prediction_jsonl,True
radar_bounded_crops,125,train,buoy,b7,False,,,prediction_jsonl,True
radar_bounded_crops,125,train,buoy,b8,False,,,prediction_jsonl,True
radar_bounded_crops,126,train,boat,boat,True,0.7750843928636598,0.7109574675559998,prediction_jsonl,True
radar_bounded_crops,126,train,buoy,b1,True,0.8143881668979944,0.283745139837265,prediction_jsonl,True
radar_bounded_crops,126,train,buoy,b2,False,,,prediction_jsonl,True
radar_bounded_crops,126,train,buoy,b3,False,,,prediction_jsonl,True
radar_bounded_crops,126,train,buoy,b4,False,,,prediction_jsonl,True
radar_bounded_crops,126,train,buoy,b5,False,,,prediction_jsonl,True
radar_bounded_crops,126,train,buoy,b6,False,,,prediction_jsonl,True
radar_bounded_crops,126,train,buoy,b7,False,,,prediction_jsonl,True
radar_bounded_crops,126,train,buoy,b8,False,,,prediction_jsonl,True
radar_bounded_crops,127,train,boat,boat,True,0.7714415182938703,0.7054141163825989,prediction_jsonl,True
radar_bounded_crops,127,train,buoy,b1,True,0.8014007212928116,0.26488733291625977,prediction_jsonl,True
radar_bounded_crops,127,train,buoy,b2,True,0.6429630228934389,0.1879235953092575,prediction_jsonl,True
radar_bounded_crops,127,train,buoy,b3,False,,,prediction_jsonl,True
radar_bounded_crops,127,train,buoy,b4,False,,,prediction_jsonl,True
radar_bounded_crops,127,train,buoy,b5,False,,,prediction_jsonl,True
radar_bounded_crops,127,train,buoy,b6,False,,,prediction_jsonl,True
radar_bounded_crops,127,train,buoy,b7,False,,,prediction_jsonl,True
radar_bounded_crops,127,train,buoy,b8,False,,,prediction_jsonl,True
radar_bounded_crops,128,train,boat,boat,True,0.7091145216686232,0.613420307636261,prediction_jsonl,True
radar_bounded_crops,128,train,buoy,b1,True,0.8122178782515078,0.2628119885921478,prediction_jsonl,True
radar_bounded_crops,128,train,buoy,b2,False,,,prediction_jsonl,True
radar_bounded_crops,128,train,buoy,b3,False,,,prediction_jsonl,True
radar_bounded_crops,128,train,buoy,b4,False,,,prediction_jsonl,True
radar_bounded_crops,128,train,buoy,b5,False,,,prediction_jsonl,True
radar_bounded_crops,128,train,buoy,b6,False,,,prediction_jsonl,True
radar_bounded_crops,128,train,buoy,b7,False,,,prediction_jsonl,True
radar_bounded_crops,128,train,buoy,b8,False,,,prediction_jsonl,True
radar_bounded_crops,129,train,boat,boat,True,0.6925900952917553,0.543929398059845,prediction_jsonl,True
radar_bounded_crops,129,train,buoy,b1,True,0.822653134884465,0.25363823771476746,prediction_jsonl,True
radar_bounded_crops,129,train,buoy,b2,False,,,prediction_jsonl,True
radar_bounded_crops,129,train,buoy,b3,False,,,prediction_jsonl,True
radar_bounded_crops,129,train,buoy,b4,False,,,prediction_jsonl,True
radar_bounded_crops,129,train,buoy,b5,False,,,prediction_jsonl,True
radar_bounded_crops,129,train,buoy,b6,False,,,prediction_jsonl,True
radar_bounded_crops,129,train,buoy,b7,False,,,prediction_jsonl,True
radar_bounded_crops,129,train,buoy,b8,False,,,prediction_jsonl,True
radar_bounded_crops,130,train,boat,boat,True,0.8387775778174794,0.641466498374939,prediction_jsonl,True
radar_bounded_crops,130,train,buoy,b1,True,0.8180612410232959,0.25529664754867554,prediction_jsonl,True
radar_bounded_crops,130,train,buoy,b2,False,,,prediction_jsonl,True
radar_bounded_crops,130,train,buoy,b3,False,,,prediction_jsonl,True
radar_bounded_crops,130,train,buoy,b4,False,,,prediction_jsonl,True
radar_bounded_crops,130,train,buoy,b5,False,,,prediction_jsonl,True
radar_bounded_crops,130,train,buoy,b6,False,,,prediction_jsonl,True
radar_bounded_crops,130,train,buoy,b7,False,,,prediction_jsonl,True
radar_bounded_crops,130,train,buoy,b8,False,,,prediction_jsonl,True
radar_bounded_crops,131,train,boat,boat,True,0.8392128854926026,0.6863811016082764,prediction_jsonl,True
radar_bounded_crops,131,train,buoy,b1,True,0.8247241290621083,0.2587869167327881,prediction_jsonl,True
radar_bounded_crops,131,train,buoy,b2,False,,,prediction_jsonl,True
radar_bounded_crops,131,train,buoy,b3,False,,,prediction_jsonl,True
radar_bounded_crops,131,train,buoy,b4,False,,,prediction_jsonl,True
radar_bounded_crops,131,train,buoy,b5,False,,,prediction_jsonl,True
radar_bounded_crops,131,train,buoy,b6,False,,,prediction_jsonl,True
radar_bounded_crops,131,train,buoy,b7,False,,,prediction_jsonl,True
radar_bounded_crops,131,train,buoy,b8,False,,,prediction_jsonl,True
radar_bounded_crops,132,train,boat,boat,True,0.8379125846380502,0.6867889761924744,prediction_jsonl,True
radar_bounded_crops,132,train,buoy,b1,True,0.8351712727621845,0.22971703112125397,prediction_jsonl,True
radar_bounded_crops,132,train,buoy,b2,True,0.62709651095084,0.2112247794866562,prediction_jsonl,True
radar_bounded_crops,132,train,buoy,b3,False,,,prediction_jsonl,True
radar_bounded_crops,132,train,buoy,b4,False,,,prediction_jsonl,True
radar_bounded_crops,132,train,buoy,b5,False,,,prediction_jsonl,True
radar_bounded_crops,132,train,buoy,b6,False,,,prediction_jsonl,True
radar_bounded_crops,132,train,buoy,b7,False,,,prediction_jsonl,True
radar_bounded_crops,132,train,buoy,b8,False,,,prediction_jsonl,True
radar_bounded_crops,133,train,boat,boat,True,0.7934786209759904,0.6558617949485779,prediction_jsonl,True
radar_bounded_crops,133,train,buoy,b1,True,0.807505145226864,0.24181662499904633,prediction_jsonl,True
radar_bounded_crops,133,train,buoy,b2,False,,,prediction_jsonl,True
radar_bounded_crops,133,train,buoy,b3,False,,,prediction_jsonl,True
radar_bounded_crops,133,train,buoy,b4,False,,,prediction_jsonl,True
radar_bounded_crops,133,train,buoy,b5,False,,,prediction_jsonl,True
radar_bounded_crops,133,train,buoy,b6,False,,,prediction_jsonl,True
radar_bounded_crops,133,train,buoy,b7,False,,,prediction_jsonl,True
radar_bounded_crops,133,train,buoy,b8,False,,,prediction_jsonl,True
radar_bounded_crops,134,train,boat,boat,True,0.8196822638851813,0.6642539501190186,prediction_jsonl,True
radar_bounded_crops,134,train,buoy,b1,True,0.8176348543511096,0.23401926457881927,prediction_jsonl,True
radar_bounded_crops,134,train,buoy,b2,False,,,prediction_jsonl,True
radar_bounded_crops,134,train,buoy,b3,False,,,prediction_jsonl,True
radar_bounded_crops,134,train,buoy,b4,False,,,prediction_jsonl,True
radar_bounded_crops,134,train,buoy,b5,False,,,prediction_jsonl,True
radar_bounded_crops,134,train,buoy,b6,False,,,prediction_jsonl,True
radar_bounded_crops,134,train,buoy,b7,False,,,prediction_jsonl,True
radar_bounded_crops,134,train,buoy,b8,False,,,prediction_jsonl,True
radar_bounded_crops,135,train,boat,boat,True,0.8213979935692978,0.6876670718193054,prediction_jsonl,True
radar_bounded_crops,135,train,buoy,b1,True,0.8134524896940241,0.2514979839324951,prediction_jsonl,True
